Status,Agent Name,Call Start Time,Call End Time,Calling Number,Waiting Time in Seconds,Techline Team
Failed,Aditya Singh,2026-01-04 12:19:42,2026-01-04 12:19:42,9744896142,124,Wiper
Abandoned,Vikram Das,2026-05-18 05:14:24,2026-05-18 05:14:24,9746708897,326,Lighting
Advanced,Aditya Singh,2024-11-27 03:46:08,2024-11-27 04:08:40,8296353151,291,Brakes
Failed,Arjun Mehta,2023-12-12 14:08:33,2023-12-12 14:08:33,8249354559,30,Brakes
Answered,Rahul Verma,2025-04-10 00:59:46,2025-04-10 01:11:36,8820071299,38,Filter
Answered,Suresh Babu,2023-04-19 10:45:30,2023-04-19 11:04:45,7696113599,119,Brakes
Answered,Aditya Singh,2026-05-06 02:00:48,2026-05-06 02:29:52,8436199661,94,Lighting
Abandoned,Divya Menon,2024-03-11 11:17:14,2024-03-11 11:17:15,8422580474,459,Brakes
Advanced,Karthik Rao,2024-10-22 01:09:24,2024-10-22 01:15:59,7719037698,289,Spark Plug
Answered,Aditya Singh,2025-02-18 18:58:21,2025-02-18 19:24:53,7358520993,169,Wiper
Diverted,Suresh Babu,2026-01-30 21:53:06,2026-01-30 21:58:09,7514968616,58,Brakes
Abandoned,Manoj Pillai,2025-02-22 18:24:21,2025-02-22 18:24:26,8726818924,406,Spark Plug
Answered,Manoj Pillai,2024-08-28 09:27:45,2024-08-28 09:29:28,7910583890,27,Towing
Answered,Divya Menon,2024-08-04 11:43:23,2024-08-04 11:45:16,9163443043,65,Brakes
Advanced,Sneha Iyer,2025-11-05 04:55:19,2025-11-05 05:31:03,9669605245,1,Brakes
Advanced,Suresh Babu,2025-07-21 15:10:03,2025-07-21 15:43:39,7336511054,43,Lighting
Diverted,Ananya Nair,2025-04-02 08:41:48,2025-04-02 08:51:00,9503648753,64,Wiper
Answered,Karthik Rao,2024-12-20 17:32:53,2024-12-20 17:38:59,8476049815,73,Towing
Answered,Arjun Mehta,2025-12-02 08:06:04,2025-12-02 08:08:52,8074430313,78,Lighting
Answered,Pooja Reddy,2024-08-08 09:28:52,2024-08-08 09:48:19,8698361539,16,Brakes
Answered,Divya Menon,2025-11-01 02:43:56,2025-11-01 02:53:35,7001883514,160,Towing
Diverted,Aditya Singh,2026-06-12 02:49:46,2026-06-12 02:57:22,9468668879,98,Wiper
Answered,Manoj Pillai,2025-03-04 10:29:47,2025-03-04 10:36:19,8153823385,1,Filter
Failed,Lakshmi Krishnan,2023-10-23 21:03:58,2023-10-23 21:03:58,9326653646,121,Filter
Failed,Manoj Pillai,2026-02-12 20:48:54,2026-02-12 20:48:54,9816018171,163,Brakes
Diverted,Lakshmi Krishnan,2023-02-09 12:37:53,2023-02-09 12:45:09,9092186393,98,Towing
Failed,Arjun Mehta,2025-10-20 11:39:50,2025-10-20 11:39:50,8390192784,196,Spark Plug
Failed,Divya Menon,2025-10-27 12:04:21,2025-10-27 12:04:21,9308778661,177,Spark Plug
Answered,Suresh Babu,2025-02-18 07:20:59,2025-02-18 07:44:42,7741010979,179,Spark Plug
Diverted,Lakshmi Krishnan,2026-06-12 05:10:03,2026-06-12 05:15:21,9531107870,25,Spark Plug
Abandoned,Manoj Pillai,2023-08-09 14:20:39,2023-08-09 14:20:39,8412639009,446,Towing
Answered,Priya Sharma,2023-01-09 05:49:58,2023-01-09 06:11:03,8990162545,148,Brakes
Answered,Divya Menon,2025-04-23 18:21:53,2025-04-23 18:38:07,8756744316,106,Wiper
Advanced,Lakshmi Krishnan,2025-05-30 14:04:47,2025-05-30 14:23:41,9104357279,265,Wiper
Answered,Priya Sharma,2026-05-14 15:53:37,2026-05-14 16:02:59,8251929964,136,Towing
Answered,Meera Pillai,2025-03-08 19:09:55,2025-03-08 19:38:22,8537709578,53,Brakes
Answered,Lakshmi Krishnan,2023-10-11 20:24:05,2023-10-11 20:25:57,8731774126,85,Lighting
Diverted,Ravi Kumar,2024-11-05 13:40:11,2024-11-05 13:41:00,8886970988,30,Lighting
Abandoned,Sneha Iyer,2023-10-03 09:55:05,2023-10-03 09:55:09,8146632118,194,Towing
Failed,Sneha Iyer,2025-02-08 09:36:49,2025-02-08 09:36:49,9887071684,40,Towing
Answered,Aditya Singh,2024-04-14 20:47:58,2024-04-14 21:05:12,9928418279,174,Wiper
Failed,Sneha Iyer,2024-06-29 01:40:16,2024-06-29 01:40:16,8846100638,141,Brakes
Advanced,Rahul Verma,2023-07-05 16:00:19,2023-07-05 16:31:49,8089341038,126,Spark Plug
Advanced,Sneha Iyer,2024-07-30 20:56:26,2024-07-30 21:19:05,9351338321,41,Brakes
Answered,Divya Menon,2023-09-12 09:41:55,2023-09-12 10:09:01,8853807799,143,Brakes
Failed,Divya Menon,2024-11-04 11:53:45,2024-11-04 11:53:45,8033973612,98,Lighting
Answered,Aditya Singh,2023-12-19 07:26:51,2023-12-19 07:53:58,9785139906,94,Towing
Answered,Pooja Reddy,2023-04-03 23:21:35,2023-04-03 23:24:43,9426389865,172,Spark Plug
Answered,Karthik Rao,2024-09-26 03:55:40,2024-09-26 04:01:48,7235603559,115,Filter
Advanced,Aditya Singh,2025-05-25 10:29:52,2025-05-25 10:38:54,7202730755,93,Towing
Answered,Ravi Kumar,2024-08-21 09:06:16,2024-08-21 09:22:56,9227566315,74,Brakes
Abandoned,Vikram Das,2024-05-23 04:56:21,2024-05-23 04:56:23,9993950821,320,Wiper
Answered,Karthik Rao,2025-11-30 01:14:49,2025-11-30 01:27:27,7518806314,169,Filter
Answered,Vikram Das,2023-03-03 13:14:27,2023-03-03 13:30:29,8358580333,124,Lighting
Diverted,Karthik Rao,2024-02-25 11:50:55,2024-02-25 11:54:02,8257076255,19,Wiper
Advanced,Lakshmi Krishnan,2024-10-28 01:49:46,2024-10-28 01:59:05,8260893455,43,Towing
Answered,Rahul Verma,2025-08-05 22:57:48,2025-08-05 23:07:37,9703296266,148,Lighting
Diverted,Karthik Rao,2023-07-18 07:27:32,2023-07-18 07:31:15,8650551983,100,Wiper
Advanced,Rahul Verma,2023-02-03 03:28:30,2023-02-03 03:53:18,8015186838,191,Wiper
Diverted,Rahul Verma,2026-04-25 00:04:46,2026-04-25 00:05:41,9211951592,39,Lighting
Abandoned,Arjun Mehta,2024-01-24 14:58:27,2024-01-24 14:58:28,7360112035,163,Brakes
Answered,Ravi Kumar,2023-04-26 02:39:07,2023-04-26 02:44:21,9332113895,135,Filter
Diverted,Suresh Babu,2025-08-07 01:49:30,2025-08-07 01:50:19,8424675470,38,Lighting
Advanced,Priya Sharma,2024-06-15 10:12:41,2024-06-15 11:00:23,7131223626,111,Lighting
Answered,Lakshmi Krishnan,2026-01-18 13:16:31,2026-01-18 13:36:38,9979759153,30,Filter
Answered,Divya Menon,2025-12-17 23:01:48,2025-12-17 23:25:10,7655939523,32,Wiper
Diverted,Vikram Das,2023-01-02 11:35:59,2023-01-02 11:41:29,7029623743,53,Filter
Failed,Aditya Singh,2024-06-03 10:03:56,2024-06-03 10:03:56,9139801141,138,Lighting
Advanced,Meera Pillai,2025-04-13 10:32:07,2025-04-13 10:56:56,9162444234,11,Wiper
Diverted,Priya Sharma,2025-01-16 22:17:32,2025-01-16 22:22:00,9176344650,16,Towing
Failed,Ananya Nair,2023-05-07 17:18:30,2023-05-07 17:18:30,8383540305,95,Towing
Abandoned,Karthik Rao,2024-01-30 17:27:02,2024-01-30 17:27:06,9173888871,186,Spark Plug
Advanced,Manoj Pillai,2025-10-02 08:02:57,2025-10-02 08:19:57,8995032371,254,Spark Plug
Answered,Vikram Das,2024-05-22 10:18:29,2024-05-22 10:26:56,7470615909,68,Spark Plug
Answered,Meera Pillai,2024-01-26 00:06:33,2024-01-26 00:24:58,8471859082,57,Spark Plug
Failed,Priya Sharma,2024-03-02 12:02:19,2024-03-02 12:02:19,8472899946,72,Brakes
Advanced,Lakshmi Krishnan,2024-12-12 20:03:33,2024-12-12 20:30:44,9590618004,253,Towing
Answered,Suresh Babu,2023-10-02 12:02:52,2023-10-02 12:20:32,9803764876,102,Wiper
Abandoned,Arjun Mehta,2023-08-31 06:25:31,2023-08-31 06:25:31,9344060882,107,Wiper
Diverted,Manoj Pillai,2026-02-18 08:06:53,2026-02-18 08:15:28,7564144273,79,Brakes
Abandoned,Lakshmi Krishnan,2023-05-25 19:09:46,2023-05-25 19:09:47,9896314712,101,Brakes
Diverted,Rahul Verma,2026-04-21 16:23:34,2026-04-21 16:26:14,8691508303,19,Lighting
Advanced,Karthik Rao,2024-02-21 19:42:39,2024-02-21 20:03:45,7510539162,51,Filter
Answered,Arjun Mehta,2025-04-11 09:38:42,2025-04-11 09:52:30,7221078647,127,Lighting
Abandoned,Priya Sharma,2023-10-12 12:05:33,2023-10-12 12:05:35,7993326113,405,Lighting
Abandoned,Lakshmi Krishnan,2023-12-21 16:28:35,2023-12-21 16:28:35,9175779340,154,Lighting
Diverted,Priya Sharma,2023-12-23 11:29:08,2023-12-23 11:35:17,7069473443,71,Wiper
Failed,Karthik Rao,2025-08-08 00:07:05,2025-08-08 00:07:05,8397473185,171,Wiper
Answered,Arjun Mehta,2026-03-08 14:05:29,2026-03-08 14:26:58,9669225132,17,Lighting
Abandoned,Karthik Rao,2023-12-04 11:54:30,2023-12-04 11:54:35,7347365957,364,Wiper
Answered,Aditya Singh,2025-03-02 18:27:41,2025-03-02 18:44:23,8155918188,131,Wiper
Answered,Lakshmi Krishnan,2024-05-24 14:47:57,2024-05-24 15:11:31,7526007997,111,Brakes
Abandoned,Ananya Nair,2025-01-06 09:13:33,2025-01-06 09:13:34,8713365654,399,Lighting
Advanced,Suresh Babu,2023-09-15 23:39:47,2023-09-15 23:47:12,8043357207,239,Towing
Diverted,Ananya Nair,2024-08-17 03:54:06,2024-08-17 03:57:59,7886332308,56,Brakes
Answered,Arjun Mehta,2023-08-19 04:52:02,2023-08-19 04:59:20,9216517472,180,Lighting
Abandoned,Vikram Das,2025-03-14 15:27:29,2025-03-14 15:27:33,7093227075,247,Towing
Failed,Karthik Rao,2024-02-04 07:44:35,2024-02-04 07:44:35,9715730593,85,Towing
Abandoned,Ravi Kumar,2023-01-22 14:04:49,2023-01-22 14:04:50,7229380553,141,Towing
Abandoned,Meera Pillai,2026-03-19 17:11:26,2026-03-19 17:11:28,7933658211,413,Filter
Abandoned,Suresh Babu,2023-08-21 13:45:33,2023-08-21 13:45:33,9725900241,256,Brakes
Abandoned,Manoj Pillai,2023-05-21 15:14:07,2023-05-21 15:14:07,8194008323,235,Towing
Advanced,Sneha Iyer,2023-11-05 04:18:37,2023-11-05 04:24:16,9239912101,171,Lighting
Failed,Priya Sharma,2025-10-04 10:41:23,2025-10-04 10:41:23,8360339897,7,Towing
Failed,Vikram Das,2023-02-09 03:12:24,2023-02-09 03:12:24,9366619975,91,Spark Plug
Answered,Lakshmi Krishnan,2025-09-28 07:09:17,2025-09-28 07:22:47,8004855450,136,Brakes
Failed,Meera Pillai,2025-04-28 17:37:14,2025-04-28 17:37:14,7923766109,173,Lighting
Diverted,Ananya Nair,2025-01-14 09:41:16,2025-01-14 09:51:10,8899370414,32,Filter
Answered,Priya Sharma,2026-03-12 17:20:20,2026-03-12 17:25:24,7702502121,12,Wiper
Failed,Sneha Iyer,2024-07-10 01:00:29,2024-07-10 01:00:29,9715763740,155,Brakes
Failed,Rahul Verma,2023-01-12 22:23:11,2023-01-12 22:23:11,8819845812,161,Lighting
Answered,Aditya Singh,2025-10-18 15:44:56,2025-10-18 16:06:19,9295691713,7,Brakes
Answered,Vikram Das,2024-01-02 10:44:44,2024-01-02 11:06:34,8470605067,53,Lighting
Answered,Priya Sharma,2023-09-23 20:45:27,2023-09-23 20:54:20,8101096777,145,Wiper
Abandoned,Priya Sharma,2026-04-14 10:37:49,2026-04-14 10:37:50,8104240898,219,Filter
Answered,Ananya Nair,2025-11-08 20:18:23,2025-11-08 20:21:56,7399510704,126,Lighting
Advanced,Ananya Nair,2025-10-18 13:26:22,2025-10-18 13:46:51,7262009459,289,Wiper
Abandoned,Meera Pillai,2026-06-26 23:49:46,2026-06-26 23:49:48,9472281450,282,Wiper
Answered,Vikram Das,2023-09-12 07:55:50,2023-09-12 08:20:52,7803199946,69,Lighting
Failed,Lakshmi Krishnan,2026-01-20 16:52:25,2026-01-20 16:52:25,9448067484,121,Spark Plug
Answered,Aditya Singh,2025-08-31 13:03:50,2025-08-31 13:19:23,9152313302,32,Towing
Answered,Manoj Pillai,2024-05-08 02:27:59,2024-05-08 02:54:32,7335044961,102,Wiper
Failed,Meera Pillai,2025-07-13 23:31:10,2025-07-13 23:31:10,7487702380,69,Lighting
Failed,Manoj Pillai,2023-04-23 10:26:57,2023-04-23 10:26:57,9341790016,33,Brakes
Answered,Lakshmi Krishnan,2025-07-18 23:37:32,2025-07-18 23:40:37,7556034464,153,Brakes
Advanced,Lakshmi Krishnan,2026-04-13 22:45:23,2026-04-13 23:06:19,9355876446,194,Filter
Diverted,Meera Pillai,2025-10-26 23:51:49,2025-10-26 23:59:45,7406036905,77,Towing
Answered,Ravi Kumar,2025-05-22 05:16:23,2025-05-22 05:39:18,7758542127,31,Lighting
Diverted,Pooja Reddy,2025-05-26 10:35:42,2025-05-26 10:44:05,9070021012,80,Brakes
Failed,Pooja Reddy,2024-06-22 17:57:55,2024-06-22 17:57:55,9976930365,124,Lighting
Diverted,Ananya Nair,2026-04-14 13:06:12,2026-04-14 13:15:54,7139303583,101,Filter
Diverted,Divya Menon,2023-12-07 01:13:46,2023-12-07 01:15:54,7150614413,46,Lighting
Diverted,Priya Sharma,2026-05-02 16:35:22,2026-05-02 16:39:45,7016445868,25,Brakes
Advanced,Lakshmi Krishnan,2026-04-15 15:35:01,2026-04-15 15:58:33,9414301179,181,Towing
Abandoned,Pooja Reddy,2026-01-17 18:00:02,2026-01-17 18:00:04,7597534364,349,Towing
Diverted,Lakshmi Krishnan,2023-07-24 08:56:47,2023-07-24 08:58:22,8344146328,7,Brakes
Abandoned,Ravi Kumar,2025-05-16 14:01:27,2025-05-16 14:01:28,8433676544,68,Wiper
Advanced,Ananya Nair,2026-01-12 09:59:10,2026-01-12 10:48:56,8277632384,6,Brakes
Advanced,Aditya Singh,2026-05-19 03:46:13,2026-05-19 04:26:30,9311574192,76,Brakes
Failed,Vikram Das,2024-08-02 11:34:02,2024-08-02 11:34:02,8782702856,159,Filter
Advanced,Aditya Singh,2025-10-19 13:44:18,2025-10-19 14:07:41,9471593047,225,Wiper
Failed,Divya Menon,2026-02-21 05:03:44,2026-02-21 05:03:44,8721135279,91,Towing
Diverted,Meera Pillai,2024-02-11 19:20:14,2024-02-11 19:27:27,7864548784,45,Filter
Advanced,Suresh Babu,2026-03-05 23:31:49,2026-03-06 00:00:05,9870590002,40,Filter
Diverted,Arjun Mehta,2025-11-29 15:02:06,2025-11-29 15:05:20,8325405725,22,Wiper
Diverted,Aditya Singh,2024-11-02 11:45:59,2024-11-02 11:50:35,7463627862,27,Filter
Advanced,Arjun Mehta,2023-01-17 07:13:33,2023-01-17 07:29:21,7607328833,214,Filter
Abandoned,Aditya Singh,2023-09-05 18:30:36,2023-09-05 18:30:37,9803156127,135,Filter
Diverted,Ravi Kumar,2024-03-24 21:52:08,2024-03-24 22:01:19,9132381951,45,Filter
Diverted,Divya Menon,2025-02-09 03:43:02,2025-02-09 03:44:43,9140436643,113,Brakes
Diverted,Meera Pillai,2025-10-14 12:51:49,2025-10-14 12:53:20,8968260171,8,Lighting
Answered,Rahul Verma,2023-03-30 20:11:39,2023-03-30 20:19:28,9938179622,71,Wiper
Answered,Suresh Babu,2025-04-19 03:54:40,2025-04-19 04:24:13,8005160166,20,Lighting
Answered,Ananya Nair,2023-05-08 20:06:17,2023-05-08 20:23:06,7560043082,16,Spark Plug
Answered,Lakshmi Krishnan,2026-02-20 04:19:36,2026-02-20 04:26:23,8956597166,18,Wiper
Answered,Divya Menon,2024-08-24 19:56:54,2024-08-24 20:26:51,7097986574,114,Spark Plug
Failed,Meera Pillai,2023-09-17 00:53:55,2023-09-17 00:53:55,7824543400,187,Wiper
Diverted,Ananya Nair,2025-07-24 10:18:52,2025-07-24 10:23:20,7902335068,31,Lighting
Abandoned,Sneha Iyer,2025-11-17 12:05:20,2025-11-17 12:05:20,9014262535,313,Spark Plug
Failed,Priya Sharma,2025-07-31 06:26:27,2025-07-31 06:26:27,9411472906,46,Towing
Abandoned,Vikram Das,2026-06-17 18:18:54,2026-06-17 18:18:54,7409990410,365,Brakes
Answered,Pooja Reddy,2023-05-23 12:46:38,2023-05-23 12:54:33,7211447393,41,Lighting
Answered,Vikram Das,2026-06-13 17:44:52,2026-06-13 18:11:48,8459222872,121,Filter
Failed,Vikram Das,2024-03-15 23:33:19,2024-03-15 23:33:19,9329847871,96,Lighting
Answered,Rahul Verma,2026-02-17 03:16:49,2026-02-17 03:23:13,8663395805,86,Filter
Failed,Manoj Pillai,2024-01-09 21:57:46,2024-01-09 21:57:46,7356165442,145,Brakes
Failed,Aditya Singh,2025-10-19 13:09:29,2025-10-19 13:09:29,9309237017,149,Brakes
Answered,Lakshmi Krishnan,2025-07-05 16:18:18,2025-07-05 16:42:25,7371497099,85,Brakes
